B,C,D,G,K,M,P,S,W,
v_1 ,v_1 ,v_1 ,v_1 ,v_1 ,v_1 ,v_1 ,v_1 ,v_1 ,
,nun ,,der ,,,,,,
,hoeret ,armer ,armen ,,,,,,
,ir ,,,ir ,ir ,ir ,ir ,ir ,
,werlt ,werlt ,werlt ,werlt ,werlt ,werlt ,werlt ,werlt ,
,minner ,minnaere ,minnaere ,minnaere ,minnaere ,minnaere ,minnaere ,minnaere ,
v_2 ,v_2 ,v_2 ,v_2 ,v_2 ,v_2 ,v_2 ,v_2 ,v_2 ,
,und ,vernement ,,,,,vernement ,,
,vernemet ,wol ,vernemen ,vernemet ,vernemet ,vernemet ,,vernemet ,
,dise ,dise ,dise ,dise ,dise ,dise ,dise ,dise ,
,maere ,maere ,maere ,maere ,maere ,maere ,maere ,maere ,
v_3 ,v_3 ,v_3 ,v_3 ,v_3 ,v_3 ,v_3 ,v_3 ,v_3 ,
,wie ,wie ,wie ,wie ,wie ,wie ,wie ,wie ,
,einem ,einem ,einem ,einem ,einem ,einem ,einem ,einem ,
,ritter ,ritter ,ritter ,ritter ,ritter ,ritter ,ritter ,ritter ,
,gelanc ,gelanc ,gelanc ,gelanc ,gelanc ,gelanc ,gelanc ,gelanc ,
v_4 ,v_4 ,v_4 ,v_4 ,v_4 ,v_4 ,v_4 ,v_4 ,v_4 ,
,der ,der ,der ,der ,der ,der ,der ,der ,
,nach ,nach ,nach ,nach ,nach ,nach ,nach ,nach ,
,der ,der ,der ,der ,der ,der ,der ,der ,
,werlt ,werlt ,werlt ,werlt ,werlt ,werlt ,werlt ,werlt ,
,lôn ,lobe ,lôn ,lôn ,lôn ,lôn ,lôn ,lôn ,
,,,,,,,,ie ,
,,,ie ,ie ,,ie ,,ie ,
,ranc ,ranc ,ranc ,ranc ,ranc ,ranc ,ranc ,ranc ,
v_5 ,v_5 ,v_5 ,v_5 ,v_5 ,v_5 ,v_5 ,v_5 ,v_5 ,
,beide ,beide ,beide ,beide ,beide ,beide ,beide ,beide ,
,spât ,spât ,spât ,spât ,spât ,spât ,spât ,spât ,
,und ,und ,und ,und ,und ,und ,und ,und ,
,vruo ,vruo ,vruo ,vruo ,vruo ,vruo ,vruo ,vruo ,
v_6 ,v_6 ,v_6 ,v_6 ,v_6 ,v_6 ,v_6 ,v_6 ,v_6 ,
